datetime,qualitystatus,resolutioncode,netregulationvolume,systemimbalance,alpha,marginalincrementalprice,marginaldecrementalprice,strategicreserveprice,positiveimbalanceprice,negativeimbalanceprice
2024-01-03T05:15:00+00:00,Validated,PT15M,31.282,-31.596,0.0,183.15,-37.24,,183.15,183.15
2024-01-03T05:30:00+00:00,Validated,PT15M,28.323,-51.604,0.0,204.19,-36.36,,204.19,204.19
2024-01-03T05:45:00+00:00,Validated,PT15M,41.124,-82.667,0.0,202.85,-36.54,,202.85,202.85
2024-01-03T06:00:00+00:00,Validated,PT15M,-4.051,52.57,0.0,177.82,-66.71,,-66.71,-66.71
2024-01-03T06:15:00+00:00,Validated,PT15M,1.852,0.999,0.0,172.89,-47.22,,-47.22,-47.22
2024-01-03T06:30:00+00:00,Validated,PT15M,10.153,-25.47,0.0,190.69,-38.93,,190.69,190.69
2024-01-03T06:45:00+00:00,Validated,PT15M,22.346,-45.073,0.0,200.15,-36.75,,200.15,200.15
2024-01-03T07:00:00+00:00,Validated,PT15M,-12.127,7.802,0.0,145.21,-38.63,,-38.63,-38.63
2024-01-03T07:15:00+00:00,Validated,PT15M,-5.715,-9.432,0.0,154.51,-32.33,,154.51,154.51
2024-01-03T07:30:00+00:00,Validated,PT15M,-7.387,-26.057,0.0,193.76,-31.29,,193.76,193.76
2024-01-03T07:45:00+00:00,Validated,PT15M,-16.759,9.748,0.0,178.9,-39.35,,-39.35,-39.35
2024-01-03T08:00:00+00:00,Validated,PT15M,-33.521,5.885,0.0,237.94,-39.78,,-39.78,-39.78
2024-01-03T08:15:00+00:00,Validated,PT15M,-13.094,-4.822,0.0,121.48,-31.73,,121.48,121.48
2024-01-03T08:30:00+00:00,Validated,PT15M,27.358,-32.839,0.0,154.49,-32.05,,154.49,154.49
2024-01-03T08:45:00+00:00,Validated,PT15M,-17.006,8.988,0.0,205.95,-38.79,,-38.79,-38.79
2024-01-03T09:00:00+00:00,Validated,PT15M,13.767,-53.42,0.0,208.51,-45.04,,208.51,208.51
2024-01-03T09:15:00+00:00,Validated,PT15M,26.726,-27.526,0.0,167.99,-33.94,,167.99,167.99
2024-01-03T09:30:00+00:00,Validated,PT15M,1.316,19.168,0.0,172.92,-48.3,,-48.3,-48.3
2024-01-03T09:45:00+00:00,Validated,PT15M,-53.944,67.439,0.0,172.52,-43.97,,-43.97,-43.97
